,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,12.67,84,91,5.75,NZ,1651313059
1,yazman,29.1212,71.7446,45.22,6,0,3.17,PK,1651313059
2,puerto ayora,-0.7393,-90.3518,21.4,93,49,2.68,EC,1651313060
3,mataura,-46.1927,168.8643,12.49,91,82,1.67,NZ,1651313060
4,cape town,-33.9258,18.4232,20.62,67,17,1.34,ZA,1651312820
5,chkalovskoye,44.8392,133.0436,7.21,66,100,5.8,RU,1651313061
6,rikitea,-23.1203,-134.9692,25.17,71,77,6.2,PF,1651313061
7,quatre cocos,-20.2078,57.7625,27.83,63,0,4.6,MU,1651313062
8,kiboga,0.9161,31.7742,28.53,41,100,1.55,UG,1651313062
9,yellowknife,62.456,-114.3525,-6.91,73,32,4.47,CA,1651313062
10,muhos,64.808,25.9931,4.94,70,99,2.94,FI,1651312991
11,bethel,41.3712,-73.414,7.2,58,0,2.06,US,1651313063
12,vaini,-21.2,-175.2,25.09,94,100,4.63,TO,1651313033
13,georgetown,5.4112,100.3354,31.96,62,20,2.06,MY,1651312812
14,bambous virieux,-20.3428,57.7575,27.9,65,40,5.14,MU,1651313064
15,albany,42.6001,-73.9662,2.41,62,3,2.02,US,1651313064
16,new norfolk,-42.7826,147.0587,12.73,66,50,0.89,AU,1651313065
17,hilo,19.7297,-155.09,22.93,99,100,1.34,US,1651312778
18,hue,16.4667,107.6,26.06,94,75,3.6,VN,1651312882
19,mozirje,46.3394,14.9633,20.35,42,28,2.1,SI,1651313068
20,qaanaaq,77.484,-69.3632,-11.1,77,99,3.77,GL,1651313068
21,atuona,-9.8,-139.0333,25.6,79,65,6.48,PF,1651313068
22,saint anthony,45.0205,-93.218,11.14,87,100,9.26,US,1651313069
23,torbay,47.6666,-52.7314,4.86,96,100,1.54,CA,1651313069
24,bengkulu,-3.8004,102.2655,27.77,80,68,2.25,ID,1651312984
25,san patricio,28.017,-97.5169,25.5,96,20,4.79,US,1651313070
26,punta arenas,-53.15,-70.9167,2.65,79,15,1.26,CL,1651313070
27,dikson,73.5069,80.5464,-5.87,89,100,8.9,RU,1651313070
28,saldanha,-33.0117,17.9442,16.77,69,3,3.9,ZA,1651312854
29,pevek,69.7008,170.3133,-17.33,100,70,2.02,RU,1651313071
30,kermanshah,34.3142,47.065,21.5,40,20,7.2,IR,1651313072
31,tasiilaq,65.6145,-37.6368,0.09,80,79,4.76,GL,1651313072
32,nikolskoye,59.7035,30.7861,6.6,37,11,3.75,RU,1651313072
33,khatanga,71.9667,102.5,-9.92,83,35,4.85,RU,1651313073
34,constitucion,-35.3333,-72.4167,9.45,60,0,2.81,CL,1651313073
35,barrow,71.2906,-156.7887,-11.99,92,0,3.6,US,1651313074
36,port elizabeth,-33.918,25.5701,21.17,62,27,6.26,ZA,1651313075
37,vestmannaeyjar,63.4427,-20.2734,7.55,81,0,4.63,IS,1651313075
38,iqaluit,63.7506,-68.5145,-17.48,89,45,1.49,CA,1651312946
39,kapaa,22.0752,-159.319,23.6,85,100,2.24,US,1651312877
40,clyde river,70.4692,-68.5914,-15.71,77,70,1.29,CA,1651312940
41,palm valley,30.1775,-81.3876,21.68,82,100,4.12,US,1651313076
42,aykhal,66.0,111.5,2.23,99,100,8.69,RU,1651313076
43,hermanus,-34.4187,19.2345,19.89,64,41,3.71,ZA,1651313077
44,hithadhoo,-0.6,73.0833,29.56,73,53,5.5,MV,1651313077
45,busselton,-33.65,115.3333,16.43,71,6,3.87,AU,1651312819
46,kismayo,-0.3582,42.5454,30.33,64,53,6.33,SO,1651313078
47,hailey,43.5196,-114.3153,-0.08,73,0,2.57,US,1651313079
48,kodiak,57.79,-152.4072,5.73,87,100,13.38,US,1651313079
49,high level,58.5169,-117.136,-0.69,92,100,2.44,CA,1651313080
